-9;-9,-1;*
-8;-9,-1;*
-7;-9,-1;*
-6;-9,-1;*
-5;-9,-1;*
-4;-9,-1;*
-3;-9,-1;*
-2;-9,-1;*
-1;-9,-1;*
285;280,289;*
286;280,289;*
287;280,289;*
288;280,289;*
289;280,289;*
290;290,294;290,299;290,319;*
291;290,294;290,299;290,319;*
292;290,294;290,299;290,319;*
293;290,294;290,299;290,319;*
294;290,294;290,299;290,319;*
295;295,299;290,299;290,319;*
296;295,299;290,299;290,319;*
297;295,299;290,299;290,319;*
298;295,299;290,299;290,319;*
299;295,299;290,299;290,319;*
300;300,316;290,319;*
301;300,316;290,319;*
302;300,316;290,319;*
303;300,316;290,319;*
304;300,316;290,319;*
305;300,316;290,319;*
306;300,316;290,319;*
307;300,316;290,319;*
308;300,316;290,319;*
309;300,316;290,319;*
310;300,316;290,319;*
311;300,316;290,319;*
312;300,316;290,319;*
313;300,316;290,319;*
314;300,316;290,319;*
315;300,316;290,319;*
316;300,316;290,319;*
317;317,319;290,319;*
318;317,319;290,319;*
319;317,319;290,319;*
320;320,326;320,389;*
321;320,326;320,389;*
322;320,326;320,389;*
323;320,326;320,389;*
324;320,326;320,389;*
325;320,326;320,389;*
326;320,326;320,389;*
327;320,389;*
330;330,337;320,389;*
331;330,337;320,389;*
332;330,337;320,389;*
333;330,337;320,389;*
334;330,337;320,389;*
335;330,337;320,389;*
336;330,337;320,389;*
337;330,337;320,389;*
338;320,389;*
339;320,389;*
340;340,349;320,389;*
341;340,349;320,389;*
342;340,349;320,389;*
343;340,349;320,389;*
344;340,349;320,389;*
345;340,349;320,389;*
346;340,349;320,389;*
347;340,349;320,389;*
348;340,349;320,389;*
349;340,349;320,389;*
350;350,359;320,389;*
351;350,359;320,389;*
352;350,359;320,389;*
353;350,359;320,389;*
354;350,359;320,389;*
355;350,359;320,389;*
356;350,359;320,389;*
357;350,359;320,389;*
358;350,359;320,389;*
359;350,359;320,389;*
360;360,379;320,389;*
361;360,379;320,389;*
362;360,379;320,389;*
363;360,379;320,389;*
364;360,379;320,389;*
365;360,379;320,389;*
366;360,379;320,389;*
367;360,379;320,389;*
368;360,379;320,389;*
369;360,379;320,389;*
370;360,379;320,389;*
